Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
11/09/2015, Steelers,134,25,330,38,26,8,77,0,1,23,15,7,2,2,1925,21, Patriots,80,24,281,32,25,7,64,0,0,26,11,7,0,0,1675,28
13/09/2015, Bengals,127,31,269,34,25,6,50,0,0,22,13,4,1,1,1952,33, Raiders,63,16,183,43,30,5,32,1,1,16,12,3,3,2,1648,13
13/09/2015, Seahawks,124,32,219,41,32,7,46,0,1,21,19,8,2,1,2248,31, Rams,76,26,276,27,18,4,30,3,0,19,11,6,0,0,1712,34
13/09/2015, Saints,54,20,354,48,30,7,73,0,1,18,18,7,1,0,2004,19, Cardinals,120,25,307,32,19,5,30,1,0,25,10,5,0,0,1596,31
13/09/2015, Lions,69,16,233,30,19,4,29,0,2,16,10,3,0,0,1308,28, Chargers,96,31,387,41,34,5,40,1,2,28,11,6,0,0,2292,33
13/09/2015, Packers,133,30,189,23,18,10,74,0,0,21,10,6,1,1,1688,31, Bears,189,33,213,36,18,6,64,0,1,25,17,11,3,2,1912,23
13/09/2015, Chiefs,97,32,233,33,22,2,25,0,0,19,13,3,0,0,2119,27, Texans,98,21,298,47,26,6,39,1,1,24,14,3,1,0,1481,20
13/09/2015, Browns,104,28,217,32,18,12,109,4,1,15,16,8,2,1,1900,10, Jets,154,36,179,24,15,4,30,0,1,18,13,7,1,0,1700,31
13/09/2015, Titans,124,32,185,15,13,8,55,1,0,20,9,4,0,0,1891,42, Buccaneers,92,26,181,33,16,12,97,0,2,16,14,3,4,2,1709,14
13/09/2015, Panthers,105,35,158,31,18,3,22,0,1,17,17,8,1,1,2046,20, Jaguars,96,21,169,40,22,3,25,1,2,18,12,3,2,1,1554,9
13/09/2015, Colts,64,17,240,49,26,5,49,1,2,23,15,8,2,1,1744,14, Bills,147,36,195,19,14,11,113,0,0,15,13,5,0,0,1856,27
13/09/2015, Ravens,73,23,100,32,18,3,15,0,2,11,13,2,1,1,1363,13, Broncos,69,25,150,40,24,8,45,0,1,16,18,8,0,0,2237,19
13/09/2015, Dolphins,74,18,182,34,22,6,39,1,0,19,12,5,1,0,1326,17, Redskins,161,37,188,31,21,11,88,0,2,20,14,6,1,0,2274,10
14/09/2015, Giants,99,24,190,36,20,5,44,0,0,18,14,6,0,0,1370,26, Cowboys,80,23,356,45,36,3,35,1,2,27,11,6,0,0,2230,27
14/09/2015, Eagles,63,16,336,52,36,10,88,0,2,23,12,3,1,1,1473,24, Falcons,105,35,290,34,23,7,57,0,2,21,14,4,0,0,2127,26
15/09/2015, Vikings,71,17,177,32,23,5,25,0,1,17,9,1,2,0,1618,3, 49ers,230,39,165,26,17,8,57,1,0,25,12,5,0,0,1982,20
18/09/2015, Broncos,61,22,238,45,26,8,85,0,1,21,16,6,1,0,1861,31, Chiefs,147,28,167,25,16,9,60,3,2,20,7,0,0,0,1739,24
20/09/2015, Dolphins,42,16,344,44,30,13,112,0,0,17,15,5,1,0,1792,20, Jaguars,123,33,273,33,18,9,93,0,0,19,14,5,0,0,1808,23
20/09/2015, Buccaneers,139,35,194,21,14,11,90,2,0,18,14,5,0,0,1712,26, Saints,104,27,219,38,24,10,115,2,1,21,14,7,1,1,1888,19
20/09/2015, 49ers,111,31,298,46,33,7,46,1,0,27,17,7,5,3,2219,18, Steelers,84,25,369,27,21,7,58,0,0,21,10,6,0,0,1381,43
20/09/2015, Patriots,56,15,451,59,38,11,119,2,0,27,10,3,2,0,1797,40, Bills,160,27,189,30,23,14,140,0,3,23,13,4,1,1,1803,32
20/09/2015, Texans,61,23,239,58,27,10,70,0,1,21,19,5,4,2,1664,17, Panthers,172,33,178,37,18,10,92,0,1,25,13,4,0,0,1936,24
20/09/2015, Rams,67,13,146,32,17,9,80,0,0,11,12,2,1,0,1336,10, Redskins,182,37,191,27,23,7,53,1,0,19,16,8,0,0,2264,24
20/09/2015, Lions,38,16,285,53,32,6,39,2,1,25,13,6,2,2,1734,16, Vikings,199,42,151,18,14,10,97,1,0,20,14,7,1,1,1866,26
20/09/2015, Chargers,131,25,223,27,21,8,64,2,1,19,11,4,0,0,1809,19, Bengals,175,36,214,26,16,9,75,2,0,20,10,4,0,0,1791,24
20/09/2015, Titans,166,30,219,37,21,9,85,3,0,21,16,7,2,2,2111,14, Browns,116,30,158,15,8,4,40,0,0,13,11,4,1,0,1489,28
20/09/2015, Cowboys,109,33,250,34,25,18,142,2,0,21,12,4,0,0,2425,20, Eagles,7,17,219,37,23,8,60,1,2,17,11,2,1,1,1175,10
20/09/2015, Ravens,109,25,384,45,32,10,109,1,1,29,11,4,2,2,1826,33, Raiders,97,19,351,46,30,16,106,0,1,27,14,9,0,0,1774,37
20/09/2015, Falcons,56,22,346,46,30,6,65,0,0,25,17,11,0,0,1895,24, Giants,97,23,291,40,27,6,35,1,0,19,17,10,1,0,1705,20
20/09/2015, Cardinals,115,28,185,24,17,8,58,1,1,21,9,5,1,1,1804,48, Bears,109,28,226,32,22,14,170,0,2,18,12,2,1,0,1796,23
21/09/2015, Seahawks,119,25,205,30,19,6,92,1,1,21,9,3,0,0,1602,17, Packers,127,29,234,33,25,6,35,1,0,21,11,4,0,0,1998,27
22/09/2015, Jets,101,27,243,34,22,8,90,0,1,20,12,4,0,0,1908,20, Colts,93,24,250,37,21,11,84,2,3,17,14,6,0,0,1692,7
25/09/2015, Redskins,88,20,305,49,30,7,58,1,2,22,15,6,3,2,1710,21, Giants,84,31,279,32,23,8,67,0,0,19,12,4,1,1,1890,32
27/09/2015, Buccaneers,57,20,261,36,17,10,84,0,1,14,12,1,0,0,1423,9, Texans,186,46,227,39,24,6,58,0,1,30,18,8,0,0,2177,19
27/09/2015, Raiders,155,30,314,32,20,12,85,1,0,19,14,6,0,0,1949,27, Browns,39,14,316,49,28,6,50,1,1,21,16,8,1,1,1651,20
27/09/2015, Bengals,86,31,372,32,20,9,67,1,1,23,15,8,2,1,1808,28, Ravens,36,18,362,49,32,13,116,0,1,19,16,7,3,2,1792,24
27/09/2015, Chargers,90,28,279,40,26,7,74,1,1,21,17,8,1,0,2009,14, Vikings,163,31,121,24,13,3,39,0,1,18,9,3,0,0,1591,31
27/09/2015, Bills,151,34,277,29,21,5,40,0,0,21,13,7,0,0,1913,41, Dolphins,102,20,289,49,26,6,36,0,3,21,13,4,4,1,1687,14
27/09/2015, Falcons,158,32,280,36,24,6,70,0,0,26,14,9,0,0,2053,39, Cowboys,127,21,220,26,22,5,31,0,1,23,6,1,1,0,1547,28
27/09/2015, 49ers,103,29,53,19,9,6,45,0,4,10,12,4,0,0,1408,7, Cardinals,139,37,307,32,20,4,24,0,1,28,13,6,1,1,2192,47
27/09/2015, Jaguars,57,20,236,33,17,7,114,0,1,15,12,6,1,0,1520,17, Patriots,125,32,346,42,33,4,30,0,0,35,14,11,0,0,2080,51
27/09/2015, Bears,98,27,48,17,9,6,40,0,0,7,13,3,0,0,1644,0, Seahawks,159,29,212,30,20,5,41,0,0,17,16,5,2,2,1956,26
27/09/2015, Saints,70,24,310,38,31,8,55,1,1,27,12,7,1,1,1964,22, Panthers,119,30,312,31,20,10,88,0,0,24,11,5,1,1,1636,27
27/09/2015, Eagles,123,38,108,28,14,5,21,1,0,18,14,4,0,0,1691,24, Jets,47,16,276,58,35,6,53,1,3,19,17,7,0,0,1909,17
27/09/2015, Colts,133,23,245,30,18,11,71,0,2,20,11,4,1,1,1501,35, Titans,88,27,345,44,27,6,55,0,2,28,13,4,1,1,2099,33
27/09/2015, Steelers,62,22,197,30,25,4,63,0,1,17,12,6,0,0,1939,12, Rams,71,18,187,29,19,7,47,0,1,12,10,2,2,0,1661,6
28/09/2015, Broncos,41,19,313,42,31,9,94,1,1,19,12,4,1,1,1732,24, Lions,28,19,262,45,31,9,75,1,2,22,12,4,1,0,1868,12
29/09/2015, Chiefs,75,18,251,40,24,7,38,0,1,23,10,2,2,2,1590,28, Packers,123,32,325,35,24,12,89,0,0,26,11,4,1,0,2010,38
02/10/2015, Ravens,191,39,165,34,21,4,30,1,1,21,17,6,4,1,2263,23, Steelers,167,33,96,26,19,4,20,0,0,17,13,2,2,0,1929,20
04/10/2015, Browns,100,21,332,41,32,12,91,1,0,20,13,4,0,0,2059,27, Chargers,91,21,347,38,23,6,31,0,0,23,11,3,0,0,1541,30
04/10/2015, Eagles,87,18,233,28,15,8,72,2,0,14,12,4,1,0,1132,20, Redskins,127,32,290,46,31,10,110,1,0,25,17,9,0,0,2468,23
04/10/2015, Texans,54,17,374,57,29,5,35,3,1,24,15,7,2,0,1448,21, Falcons,135,35,243,27,19,10,80,0,0,22,16,9,1,1,2152,48
04/10/2015, Packers,162,33,200,32,22,8,65,0,0,18,15,5,2,2,2194,17, 49ers,77,19,119,25,13,4,30,0,1,8,13,4,1,0,1406,3
04/10/2015, Panthers,133,33,111,22,11,5,45,1,0,17,11,3,0,0,1672,37, Buccaneers,141,30,270,43,26,5,48,1,4,25,16,8,2,2,1928,23
04/10/2015, Raiders,70,22,173,33,20,5,47,1,1,16,13,6,0,0,1598,20, Bears,98,29,273,43,28,7,48,2,1,23,17,10,1,1,2002,22
04/10/2015, Chiefs,113,23,348,45,31,7,46,1,0,24,16,7,0,0,2213,21, Bengals,124,26,321,24,17,11,84,0,0,18,10,6,0,0,1387,36
04/10/2015, Rams,164,26,164,24,16,7,66,0,0,13,13,5,0,0,1607,24, Cardinals,113,21,334,46,29,3,20,2,1,26,11,2,2,1,1993,22
04/10/2015, Jaguars,142,28,289,50,28,13,92,0,0,21,18,7,0,0,2170,13, Colts,60,24,266,47,30,4,45,2,0,22,15,7,0,0,2054,16
04/10/2015, Giants,92,28,211,35,20,11,85,0,1,19,15,3,0,0,1833,24, Bills,55,24,258,42,28,17,135,1,1,14,16,3,3,1,1767,10
04/10/2015, Vikings,113,21,212,41,27,9,63,1,0,19,16,6,2,2,2034,20, Broncos,144,24,200,27,17,8,40,0,2,18,9,2,1,1,1566,23
04/10/2015, Jets,207,43,218,29,16,14,163,0,1,23,16,6,0,0,2243,27, Dolphins,59,11,167,44,19,9,80,0,2,17,12,0,4,0,1357,14
05/10/2015, Cowboys,115,28,220,26,16,6,30,0,0,21,12,3,1,1,1760,20, Saints,103,25,335,41,33,8,64,0,0,27,13,6,1,1,1853,26
06/10/2015, Lions,53,18,203,35,24,4,37,1,0,12,13,3,0,0,1676,10, Seahawks,110,31,235,26,20,5,30,3,0,18,13,6,0,0,1924,13
09/10/2015, Colts,110,30,213,29,18,7,65,0,0,22,11,3,1,1,1653,27, Texans,82,28,362,41,31,13,125,0,2,24,16,8,1,1,1947,20
11/10/2015, Rams,191,36,143,31,12,8,40,0,4,17,18,5,1,1,2023,10, Packers,86,27,236,30,19,7,67,1,2,14,13,4,1,0,1577,24
11/10/2015, Bears,87,26,241,45,26,6,49,1,0,21,14,6,1,0,2017,18, Chiefs,117,25,170,30,16,3,49,0,0,16,14,5,0,0,1583,17
11/10/2015, Browns,83,25,422,51,36,9,74,0,0,25,19,12,0,0,2356,33, Ravens,181,31,196,35,19,12,98,0,0,22,14,5,0,0,1741,30
11/10/2015, Jaguars,55,17,270,33,23,3,12,1,1,21,8,2,1,1,1519,31, Buccaneers,183,40,186,19,13,10,72,0,0,20,11,5,0,0,2081,38
11/10/2015, Bills,127,28,82,18,11,7,62,1,0,13,12,4,0,0,1469,14, Titans,97,28,179,32,21,9,74,0,1,17,13,5,0,0,2131,13
